HID,M1,M2,HHID,PID,N1,HPID,PIDWON,CH1,CH2_Y,CH2_M,CH2_1,CH3_Y,CH3_M,CH3_1,CH4_Y,CH4_M,CH4_1,CH5_Y,CH5_M,CH6_Y,CH6_M
112155.0,1.0,1.0,112155011.0,1.0,1.0,11215501101.0,11215501.0,0.0,,,,,,,,,,,,,
112156.0,1.0,1.0,112156011.0,1.0,1.0,11215601101.0,11215601.0,0.0,,,,,,,,,,,,,
112156.0,1.0,1.0,112156011.0,2.0,1.0,11215601102.0,11215602.0,0.0,,,,,,,,,,,,,
112157.0,1.0,1.0,112157011.0,1.0,1.0,11215701101.0,11215701.0,0.0,,,,,,,,,,,,,
112157.0,1.0,1.0,112157011.0,2.0,1.0,11215701102.0,11215702.0,0.0,,,,,,,,,,,,,
112157.0,1.0,1.0,112157011.0,3.0,1.0,11215701103.0,11215703.0,0.0,,,,,,,,,,,,,
112157.0,1.0,1.0,112157011.0,4.0,1.0,11215701104.0,11215704.0,0.0,,,,,,,,,,,,,
112159.0,1.0,1.0,112159011.0,1.0,1.0,11215901101.0,11215901.0,0.0,,,,,,,,,,,,,
112159.0,1.0,1.0,112159011.0,2.0,1.0,11215901102.0,11215902.0,0.0,,,,,,,,,,,,,
112159.0,2.0,1.0,112159021.0,3.0,1.0,11215902103.0,11215903.0,0.0,,,,,,,,,,,,,
112159.0,2.0,1.0,112159021.0,4.0,2.0,11215902104.0,11215904.0,0.0,,,,,,,,,,,,,
112159.0,2.0,1.0,112159021.0,5.0,3.0,11215902105.0,11215905.0,11.0,2021.0,3.0,1.0,,,,,,,,,,
112160.0,1.0,1.0,112160011.0,1.0,1.0,11216001101.0,11216001.0,0.0,,,,,,,,,,,,,
112160.0,1.0,1.0,112160011.0,2.0,1.0,11216001102.0,11216002.0,0.0,,,,,,,,,,,,,
112160.0,1.0,1.0,112160011.0,3.0,1.0,11216001103.0,11216003.0,0.0,,,,,,,,,,,,,
112160.0,1.0,1.0,112160011.0,4.0,1.0,11216001104.0,11216004.0,0.0,,,,,,,,,,,,,
112161.0,1.0,1.0,112161011.0,1.0,1.0,11216101101.0,11216101.0,0.0,,,,,,,,,,,,,
112161.0,1.0,1.0,112161011.0,2.0,1.0,11216101102.0,11216102.0,0.0,,,,,,,,,,,,,
112161.0,1.0,1.0,112161011.0,4.0,2.0,11216101104.0,11216104.0,0.0,,,,,,,,,,,,,
112163.0,1.0,1.0,112163011.0,1.0,1.0,11216301101.0,11216301.0,0.0,,,,,,,,,,,,,
112163.0,1.0,1.0,112163011.0,2.0,1.0,11216301102.0,11216302.0,0.0,,,,,,,,,,,,,
112163.0,1.0,1.0,112163011.0,3.0,1.0,11216301103.0,11216303.0,0.0,,,,,,,,,,,,,
112163.0,1.0,1.0,112163011.0,4.0,1.0,11216301104.0,11216304.0,0.0,,,,,,,,,,,,,
112164.0,1.0,1.0,112164011.0,1.0,1.0,11216401101.0,11216401.0,0.0,,,,,,,,,,,,,
112164.0,1.0,1.0,112164011.0,2.0,1.0,11216401102.0,11216402.0,0.0,,,,,,,,,,,,,
112164.0,1.0,1.0,112164011.0,3.0,1.0,11216401103.0,11216403.0,0.0,,,,,,,,,,,,,
112164.0,1.0,1.0,112164011.0,4.0,1.0,11216401104.0,11216404.0,0.0,,,,,,,,,,,,,
112165.0,1.0,1.0,112165011.0,1.0,1.0,11216501101.0,11216501.0,0.0,,,,,,,,,,,,,
112166.0,1.0,1.0,112166011.0,1.0,1.0,11216601101.0,11216601.0,0.0,,,,,,,,,,,,,
112166.0,1.0,1.0,112166011.0,2.0,1.0,11216601102.0,11216602.0,0.0,,,,,,,,,,,,,
